,date,incident_info,mean_temperature,min_temperature,max_temperature,total_precipitation,snow_on_ground
1628,2023-04-06,21,0.6,-6.8,7.9,0.0,1.0
1629,2023-04-07,7,6.6,-4.2,17.4,0.0,1.0
1630,2023-04-08,12,8.4,2.8,14.1,0.0,1.0
1631,2023-04-09,11,9.9,1.3,18.4,0.0,1.0
1632,2023-04-10,11,7.3,1.6,13.1,0.3,0.0
1633,2023-04-11,21,3.0,-1.3,7.2,0.0,1.0
1634,2023-04-12,14,0.7,-5.4,6.8,0.7,0.0
1635,2023-04-13,16,0.3,-6.6,7.2,0.0,0.0
1636,2023-04-14,17,1.0,-6.8,8.8,0.0,0.0
1637,2023-04-15,15,3.7,-5.3,12.8,0.0,0.0
1638,2023-04-16,11,9.2,1.2,17.1,0.0,0.0
1639,2023-04-17,21,4.0,-1.9,10.0,0.0,0.0
1640,2023-04-18,15,1.0,-9.3,11.4,0.0,0.0
1641,2023-04-19,14,1.9,-2.5,6.2,0.0,0.0
1642,2023-04-20,13,-1.3,-4.4,1.7,0.5,0.0
1643,2023-04-21,17,-1.8,-4.0,0.4,0.6,0.0
1644,2023-04-22,13,2.3,-6.8,11.4,0.0,0.0
1645,2023-04-23,6,6.2,-3.5,15.8,0.0,0.0
1646,2023-04-24,20,9.3,2.5,16.0,0.0,0.0
1647,2023-04-25,20,8.2,0.6,15.8,0.0,0.0
1648,2023-04-26,21,7.7,-2.8,18.2,0.0,0.0
1649,2023-04-27,24,7.8,0.7,14.8,4.1,0.0
1650,2023-04-28,19,12.5,4.3,20.7,0.0,0.0
1651,2023-04-29,19,11.5,1.6,21.4,0.0,0.0
1652,2023-04-30,11,12.7,1.5,23.8,0.0,0.0
1653,2023-05-01,23,15.8,5.8,25.8,0.0,0.0
1654,2023-05-02,22,15.4,5.9,24.8,0.0,0.0
1655,2023-05-03,25,16.4,5.2,27.5,0.0,0.0
1656,2023-05-04,19,16.9,6.0,27.7,0.0,0.0
1657,2023-05-05,21,14.5,5.9,23.2,0.0,0.0
1658,2023-05-06,14,8.5,4.6,12.5,0.2,0.0
1659,2023-05-07,14,10.3,3.3,17.2,0.0,0.0
1660,2023-05-08,22,10.4,6.2,14.7,7.1,0.0
1661,2023-05-09,17,9.8,5.1,14.5,0.0,0.0
1662,2023-05-10,25,9.9,5.3,14.5,0.0,0.0
